Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
Aceite de Oliva 1kg,7500345,Abarrotes,2025-02-02,AlimentaVida,42.54,133
Aceite de Oliva Light,7500346,Abarrotes,2028-08-10,Maggi,38.17,150
Aceite de Oliva Premium,7500347,Abarrotes,2026-04-09,Maggi,103.33,444
Aceite de Oliva Familiar,7500348,Abarrotes,2027-01-02,McCormick,119.37,149
Azucar Blanca,7500349,Abarrotes,2026-05-12,AlimentaVida,53.22,439
Azucar Blanca 500g,7500350,Abarrotes,2026-05-12,Generico,44.27,231
Azucar Blanca 1kg,7500351,Abarrotes,2028-02-16,Maggi,55.29,418
Azucar Blanca Light,7500352,Abarrotes,2028-07-10,VidaMax,117.72,138
Azucar Blanca Premium,7500353,Abarrotes,2028-05-06,VidaMax,21.38,99
Azucar Blanca Familiar,7500354,Abarrotes,2026-02-04,NutriPlus,13.38,218
Sal Refinada,7500355,Abarrotes,2028-09-21,La Costena,38.6,251
Sal Refinada 500g,7500356,Abarrotes,2028-06-11,La Costena,13.16,469
Sal Refinada 1kg,7500357,Abarrotes,2026-07-15,McCormick,87.44,273
Sal Refinada Light,7500358,Abarrotes,2025-01-16,AlimentaVida,23.76,284
Sal Refinada Premium,7500359,Abarrotes,2025-05-20,La Costena,49.98,104
Sal Refinada Familiar,7500360,Abarrotes,2027-11-03,NutriPlus,100.53,499
Harina de Trigo,7500361,Abarrotes,2028-09-11,EcoStar,109.79,181
Harina de Trigo 500g,7500362,Abarrotes,2026-08-25,NutriPlus,77.77,393
Harina de Trigo 1kg,7500363,Abarrotes,2026-01-18,McCormick,96.37,193
Harina de Trigo Light,7500364,Abarrotes,2028-12-05,Knorr,17.32,134
Harina de Trigo Premium,7500365,Abarrotes,2025-05-16,Knorr,48.98,53
Harina de Trigo Familiar,7500366,Abarrotes,2025-09-16,NaturaBio,99.71,268
Maicena,7500367,Abarrotes,2025-07-27,McCormick,118.48,199
Maicena 500g,7500368,Abarrotes,2028-07-16,PureFarm,107.34,216
Maicena 1kg,7500369,Abarrotes,2028-10-19,PureFarm,42.98,427
Maicena Light,7500370,Abarrotes,2028-10-14,La Costena,18.44,344
Maicena Premium,7500371,Abarrotes,2026-10-04,VidaMax,24.27,498
Maicena Familiar,7500372,Abarrotes,2026-07-18,La Costena,77.36,351
Vinagre Blanco,7500373,Abarrotes,2027-05-09,McCormick,55.48,112
Vinagre Blanco 500g,7500374,Abarrotes,2027-10-21,Marca Propia,58.72,452
Vinagre Blanco 1kg,7500375,Abarrotes,2028-01-11,VidaMax,32.06,409
Vinagre Blanco Light,7500376,Abarrotes,2028-04-15,EcoStar,30.43,237
Vinagre Blanco Premium,7500377,Abarrotes,2028-06-10,PureFarm,8.87,309
Vinagre Blanco Familiar,7500378,Abarrotes,2026-06-05,Herdez,110.47,432
Mayonesa,7500379,Abarrotes,2025-03-24,PureFarm,97.32,387
Mayonesa 500g,7500380,Abarrotes,2027-03-05,NaturaBio,23.35,325
Mayonesa 1kg,7500381,Abarrotes,2025-03-07,McCormick,47.13,466
Mayonesa Light,7500382,Abarrotes,2025-03-01,NaturaBio,21.77,189
Mayonesa Premium,7500383,Abarrotes,2027-10-14,VidaMax,93.41,271
Mayonesa Familiar,7500384,Abarrotes,2026-12-27,VidaMax,72.42,121
Ketchup,7500385,Abarrotes,2028-12-17,Knorr,14.76,372
Ketchup 500g,7500386,Abarrotes,2025-03-09,AlimentaVida,14.9,138
Ketchup 1kg,7500387,Abarrotes,2025-03-24,Herdez,49.46,317
Ketchup Light,7500388,Abarrotes,2025-11-11,EcoStar,20.04,464
Ketchup Premium,7500389,Abarrotes,2028-11-12,Knorr,67.57,458
Ketchup Familiar,7500390,Abarrotes,2028-05-22,AlimentaVida,73.41,242
Mostaza,7500391,Abarrotes,2026-07-22,Marca Propia,65.09,17
Mostaza 500g,7500392,Abarrotes,2025-01-27,McCormick,114.99,385
Mostaza 1kg,7500393,Abarrotes,2028-09-18,SuperMax,77.85,363
Mostaza Light,7500394,Abarrotes,2027-01-19,Knorr,70.18,356
Mostaza Premium,7500395,Abarrotes,2026-07-25,Generico,35.92,428
Mostaza Familiar,7500396,Abarrotes,2028-09-03,McCormick,57.69,163
Manzana Roja,7500397,Frutas,2028-07-23,SuperMax,88.04,85
Manzana Roja 500g,7500398,Frutas,2028-10-12,PureFarm,108.55,485
Manzana Roja 1kg,7500399,Frutas,2028-09-02,Dole,18.39,414
Manzana Roja Light,7500400,Frutas,2028-11-08,VidaMax,86.75,142
Manzana Roja Premium,7500401,Frutas,2027-08-09,SuperMax,102.75,487
Manzana Roja Familiar,7500402,Frutas,2026-07-04,Generico,106.55,402
Manzana Verde,7500403,Frutas,2027-06-16,NutriPlus,80.37,62
Manzana Verde 500g,7500404,Frutas,2026-03-16,FreshCo,71.61,140
Manzana Verde 1kg,7500405,Frutas,2027-05-27,EcoStar,117.04,336
Manzana Verde Light,7500406,Frutas,2025-09-28,EcoStar,23.63,249
Manzana Verde Premium,7500407,Frutas,2027-12-19,VidaMax,40.03,222
Manzana Verde Familiar,7500408,Frutas,2025-11-10,Del Monte,26.97,314
Pera,7500409,Frutas,2028-02-16,Del Monte,4.28,291
Pera 500g,7500410,Frutas,2027-08-18,Dole,35.87,373
Pera 1kg,7500411,Frutas,2028-07-28,FreshCo,51.86,134
Pera Light,7500412,Frutas,2025-09-05,EcoStar,68.9,337
Pera Premium,7500413,Frutas,2027-02-22,Dole,47.45,275
Pera Familiar,7500414,Frutas,2026-07-02,Generico,90.61,488
Naranja,7500415,Frutas,2028-10-01,NutriPlus,6.67,301
Naranja 500g,7500416,Frutas,2025-04-10,SuperMax,105.68,329
Naranja 1kg,7500417,Frutas,2025-12-18,VidaMax,56.3,106
Naranja Light,7500418,Frutas,2026-01-17,Chiquita,53.64,240
Naranja Premium,7500419,Frutas,2026-05-24,Fresh,48.96,327
Naranja Familiar,7500420,Frutas,2028-04-16,Fresh,65.98,320
Mandarina,7500421,Frutas,2028-01-25,Fresh,22.57,222
Mandarina 500g,7500422,Frutas,2025-07-28,NutriPlus,7.68,480
Mandarina 1kg,7500423,Frutas,2027-03-05,NaturaBio,108.94,295
Mandarina Light,7500424,Frutas,2028-05-08,FreshCo,9.96,216
Mandarina Premium,7500425,Frutas,2025-06-20,Dole,33.52,239
Mandarina Familiar,7500426,Frutas,2028-08-11,Dole,24.16,346
Uva Verde,7500427,Frutas,2028-02-12,FreshCo,118.85,49
Uva Verde 500g,7500428,Frutas,2025-05-13,FreshCo,48.31,156
Uva Verde 1kg,7500429,Frutas,2026-09-04,Fresh,90.1,318
Uva Verde Light,7500430,Frutas,2028-01-10,AlimentaVida,70.12,366
Uva Verde Premium,7500431,Frutas,2026-11-09,EcoStar,89.55,393
Uva Verde Familiar,7500432,Frutas,2026-03-25,Del Monte,16.52,57
Uva Morada,7500433,Frutas,2028-05-11,NutriPlus,15.73,269
Uva Morada 500g,7500434,Frutas,2027-03-15,SuperMax,84.06,288
Uva Morada 1kg,7500435,Frutas,2025-12-28,Generico,79.15,78
Uva Morada Light,7500436,Frutas,2025-01-11,Marca Propia,9.09,360
Uva Morada Premium,7500437,Frutas,2028-05-11,Del Monte,119.86,367
Uva Morada Familiar,7500438,Frutas,2025-08-20,NutriPlus,73.83,253
Fresa,7500439,Frutas,2027-03-25,Marca Propia,11.83,89
Fresa 500g,7500440,Frutas,2027-03-15,Tropicana,71.45,212
Fresa 1kg,7500441,Frutas,2025-03-12,Del Monte,95.2,266
Fresa Light,7500442,Frutas,2026-08-02,Chiquita,14.31,162
Fresa Premium,7500443,Frutas,2025-07-23,Dole,16.21,428
Fresa Familiar,7500444,Frutas,2026-02-02,Del Monte,86.5,386
Platano,7500445,Frutas,2026-10-19,Chiquita,80.01,74
Platano 500g,7500446,Frutas,2027-07-02,AlimentaVida,73.03,467
Platano 1kg,7500447,Frutas,2027-11-18,FreshCo,83.21,56
Platano Light,7500448,Frutas,2027-01-21,EcoStar,83.7,414
Platano Premium,7500449,Frutas,2026-09-26,Dole,116.97,315
Platano Familiar,7500450,Frutas,2026-01-08,SuperMax,97.39,46
Sandia,7500451,Frutas,2025-06-07,Marca Propia,84.37,118
Sandia 500g,7500452,Frutas,2028-08-17,AlimentaVida,73.71,61
Sandia 1kg,7500453,Frutas,2025-05-01,NutriPlus,111.35,237
Sandia Light,7500454,Frutas,2027-05-25,FreshCo,4.22,88
Sandia Premium,7500455,Frutas,2025-02-26,PureFarm,102.31,139
Sandia Familiar,7500456,Frutas,2028-04-19,Fresh,91.74,352
Melon,7500457,Frutas,2026-09-19,Del Monte,56.26,322
Melon 500g,7500458,Frutas,2028-01-24,Dole,48.44,355
Melon 1kg,7500459,Frutas,2027-07-01,AlimentaVida,34.21,480
Melon Light,7500460,Frutas,2028-11-24,Del Monte,82.57,144
Melon Premium,7500461,Frutas,2025-09-21,Del Monte,40.13,95
Melon Familiar,7500462,Frutas,2025-05-06,FreshCo,99.35,72
Piña,7500463,Frutas,2025-05-16,Chiquita,70.19,229
Piña 500g,7500464,Frutas,2025-04-12,Chiquita,53.13,403
Piña 1kg,7500465,Frutas,2026-11-19,Fresh,86.62,382
Piña Light,7500466,Frutas,2028-02-13,SuperMax,114.4,466
Piña Premium,7500467,Frutas,2025-10-24,PureFarm,113.14,131
Piña Familiar,7500468,Frutas,2027-03-21,Chiquita,73.95,482
Mango,7500469,Frutas,2027-09-19,NaturaBio,33.0,396
Mango 500g,7500470,Frutas,2028-12-27,Tropicana,64.51,436
Mango 1kg,7500471,Frutas,2026-07-07,Chiquita,107.55,179
Mango Light,7500472,Frutas,2028-09-26,EcoStar,62.53,322
Mango Premium,7500473,Frutas,2028-08-06,Chiquita,113.17,387
Mango Familiar,7500474,Frutas,2026-02-03,Chiquita,115.61,261
Papaya,7500475,Frutas,2025-04-14,VidaMax,36.69,14
Papaya 500g,7500476,Frutas,2028-09-03,EcoStar,13.96,35
Papaya 1kg,7500477,Frutas,2028-04-24,AlimentaVida,93.88,179
Papaya Light,7500478,Frutas,2026-03-25,EcoStar,34.52,128
Papaya Premium,7500479,Frutas,2025-10-04,Tropicana,12.9,304
Papaya Familiar,7500480,Frutas,2027-02-12,SuperMax,60.46,147
Kiwi,7500481,Frutas,2026-07-27,NutriPlus,31.6,466
Kiwi 500g,7500482,Frutas,2028-07-23,Del Monte,45.47,437
Kiwi 1kg,7500483,Frutas,2026-08-28,Marca Propia,45.08,310
Kiwi Light,7500484,Frutas,2028-08-22,Del Monte,39.46,179
Kiwi Premium,7500485,Frutas,2025-08-01,Fresh,65.92,174
Kiwi Familiar,7500486,Frutas,2028-04-20,PureFarm,102.89,225
Limon,7500487,Frutas,2026-11-21,Generico,93.34,226
Limon 500g,7500488,Frutas,2027-03-10,FreshCo,96.92,32
Limon 1kg,7500489,Frutas,2026-09-12,Marca Propia,7.15,44
Limon Light,7500490,Frutas,2028-07-24,Generico,94.45,89
Limon Premium,7500491,Frutas,2025-08-14,Del Monte,28.58,208
Limon Familiar,7500492,Frutas,2028-03-05,Fresh,35.78,149
Tomate,7500493,Verduras,2027-10-19,VidaMax,98.71,290
Tomate 500g,7500494,Verduras,2028-05-20,NaturaBio,42.3,434
Tomate 1kg,7500495,Verduras,2025-11-28,NaturaBio,37.99,64
Tomate Light,7500496,Verduras,2025-10-12,NutriPlus,104.28,143
Tomate Premium,7500497,Verduras,2025-02-06,Campo,38.05,28
Tomate Familiar,7500498,Verduras,2028-06-16,AlimentaVida,32.24,238
Cebolla,7500499,Verduras,2026-06-17,PureFarm,115.47,243
Cebolla 500g,7500500,Verduras,2028-12-07,Marca Propia,36.51,244
Cebolla 1kg,7500501,Verduras,2025-10-24,Nature,51.26,60
Cebolla Light,7500502,Verduras,2026-11-06,Nature,15.91,232
Cebolla Premium,7500503,Verduras,2026-05-13,Del Monte,15.52,186
Cebolla Familiar,7500504,Verduras,2026-04-13,Generico,54.14,103
Papa,7500505,Verduras,2025-10-23,Marca Propia,46.43,485
Papa 500g,7500506,Verduras,2026-12-11,Campo,110.06,43
Papa 1kg,7500507,Verduras,2027-12-26,NutriPlus,62.95,298
Papa Light,7500508,Verduras,2028-07-09,NaturaBio,69.7,463
Papa Premium,7500509,Verduras,2028-05-04,Fresh,80.14,369
Papa Familiar,7500510,Verduras,2025-08-27,Green Giant,67.65,483
Zanahoria,7500511,Verduras,2028-11-13,Del Monte,60.67,498
Zanahoria 500g,7500512,Verduras,2028-04-27,Generico,84.53,50
Zanahoria 1kg,7500513,Verduras,2027-10-04,NaturaBio,62.81,349
Zanahoria Light,7500514,Verduras,2026-09-25,Marca Propia,110.23,135
Zanahoria Premium,7500515,Verduras,2025-02-11,Green Giant,98.24,300
Zanahoria Familiar,7500516,Verduras,2027-02-22,FreshCo,109.9,274
Brocoli,7500517,Verduras,2025-10-19,Green Giant,90.03,203
Brocoli 500g,7500518,Verduras,2025-02-08,SuperMax,15.4,133
Brocoli 1kg,7500519,Verduras,2026-10-23,FreshCo,57.28,211
Brocoli Light,7500520,Verduras,2027-04-23,Fresh,21.86,55
Brocoli Premium,7500521,Verduras,2028-01-10,Green Giant,97.36,449
Brocoli Familiar,7500522,Verduras,2027-07-02,AlimentaVida,69.57,270
Coliflor,7500523,Verduras,2026-06-13,Marca Propia,91.04,422
Coliflor 500g,7500524,Verduras,2025-12-21,NaturaBio,4.06,322
Coliflor 1kg,7500525,Verduras,2026-02-07,Campo,18.63,484
Coliflor Light,7500526,Verduras,2026-09-28,Fresh,93.5,44
Coliflor Premium,7500527,Verduras,2028-01-05,Green Giant,30.13,373
Coliflor Familiar,7500528,Verduras,2026-04-25,Marca Propia,94.93,133
Lechuga,7500529,Verduras,2026-10-10,Del Monte,109.42,228
Lechuga 500g,7500530,Verduras,2026-04-06,SuperMax,119.06,408
Lechuga 1kg,7500531,Verduras,2028-09-28,Fresh,65.73,248
Lechuga Light,7500532,Verduras,2028-01-27,EcoStar,100.5,99
Lechuga Premium,7500533,Verduras,2026-03-03,VidaMax,29.03,435
Lechuga Familiar,7500534,Verduras,2027-11-06,Generico,69.9,54
Espinaca,7500535,Verduras,2026-10-13,NutriPlus,3.44,361
Espinaca 500g,7500536,Verduras,2025-12-02,SuperMax,74.71,341
Espinaca 1kg,7500537,Verduras,2025-07-01,EcoStar,75.08,273
Espinaca Light,7500538,Verduras,2028-09-09,FreshCo,88.0,247
Espinaca Premium,7500539,Verduras,2025-08-11,Campo,58.51,461
Espinaca Familiar,7500540,Verduras,2025-03-06,Del Monte,116.79,330
Apio,7500541,Verduras,2026-11-12,SuperMax,40.49,274
Apio 500g,7500542,Verduras,2025-02-08,Marca Propia,42.84,5
Apio 1kg,7500543,Verduras,2025-12-27,EcoStar,79.28,158
Apio Light,7500544,Verduras,2027-10-25,Campo,14.34,221
Apio Premium,7500545,Verduras,2025-09-15,EcoStar,96.01,161
Apio Familiar,7500546,Verduras,2027-05-15,NutriPlus,49.1,263
Pepino,7500547,Verduras,2025-11-07,Fresh,38.3,424
Pepino 500g,7500548,Verduras,2027-03-06,EcoStar,34.2,464
Pepino 1kg,7500549,Verduras,2026-08-22,SuperMax,5.51,243
Pepino Light,7500550,Verduras,2027-07-10,SuperMax,15.63,42
Pepino Premium,7500551,Verduras,2025-11-04,SuperMax,24.94,330
Pepino Familiar,7500552,Verduras,2027-08-07,AlimentaVida,92.14,423
Chiles,7500553,Verduras,2025-10-18,SuperMax,82.11,193
Chiles 500g,7500554,Verduras,2026-12-17,VidaMax,77.85,50
Chiles 1kg,7500555,Verduras,2025-10-17,SuperMax,70.79,140
Chiles Light,7500556,Verduras,2026-09-27,PureFarm,84.41,400
Chiles Premium,7500557,Verduras,2025-08-09,Generico,59.98,191
Chiles Familiar,7500558,Verduras,2028-03-27,AlimentaVida,21.4,163
Elote,7500559,Verduras,2028-12-25,Del Monte,61.62,379
Elote 500g,7500560,Verduras,2027-09-27,NaturaBio,83.49,313
Elote 1kg,7500561,Verduras,2028-03-06,NaturaBio,36.37,259
Elote Light,7500562,Verduras,2026-12-14,Nature,107.41,225
Elote Premium,7500563,Verduras,2026-06-04,AlimentaVida,88.54,227
Elote Familiar,7500564,Verduras,2027-01-03,Green Giant,38.6,407
Aguacate,7500565,Verduras,2027-03-06,FreshCo,65.03,80
Aguacate 500g,7500566,Verduras,2025-03-03,EcoStar,119.32,17
Aguacate 1kg,7500567,Verduras,2027-07-02,Campo,44.28,376
Aguacate Light,7500568,Verduras,2026-09-27,NutriPlus,68.18,39
Aguacate Premium,7500569,Verduras,2025-01-09,Campo,36.91,305
Aguacate Familiar,7500570,Verduras,2026-08-17,Del Monte,44.31,282
Pimiento Rojo,7500571,Verduras,2027-09-05,SuperMax,48.04,38
Pimiento Rojo 500g,7500572,Verduras,2026-03-01,Nature,46.65,279
Pimiento Rojo 1kg,7500573,Verduras,2025-02-24,Nature,28.06,96
Pimiento Rojo Light,7500574,Verduras,2025-07-18,Del Monte,60.96,305
Pimiento Rojo Premium,7500575,Verduras,2026-05-16,Fresh,91.16,344
Pimiento Rojo Familiar,7500576,Verduras,2026-07-24,Del Monte,118.66,450
Pimiento Verde,7500577,Verduras,2027-02-07,VidaMax,23.66,41
Pimiento Verde 500g,7500578,Verduras,2028-11-12,Del Monte,42.38,279
Pimiento Verde 1kg,7500579,Verduras,2028-01-13,Del Monte,15.66,20
Pimiento Verde Light,7500580,Verduras,2027-11-27,Generico,62.17,466
Pimiento Verde Premium,7500581,Verduras,2026-10-12,EcoStar,83.17,140
Pimiento Verde Familiar,7500582,Verduras,2027-09-11,Fresh,103.89,295
Pechuga de Pollo,7500583,Carnes,2025-06-12,Marca Propia,30.75,108
Pechuga de Pollo 500g,7500584,Carnes,2026-04-19,EcoStar,102.72,222
Pechuga de Pollo 1kg,7500585,Carnes,2025-01-06,AlimentaVida,73.09,440
Pechuga de Pollo Light,7500586,Carnes,2025-06-02,EcoStar,113.06,211
Pechuga de Pollo Premium,7500587,Carnes,2026-02-05,Zwan,42.99,456
Pechuga de Pollo Familiar,7500588,Carnes,2027-04-18,SuperMax,56.47,345
Muslo de Pollo,7500589,Carnes,2025-01-18,Campofrio,94.33,315
Muslo de Pollo 500g,7500590,Carnes,2026-07-10,VidaMax,87.27,337
Muslo de Pollo 1kg,7500591,Carnes,2025-06-19,VidaMax,82.53,97
Muslo de Pollo Light,7500592,Carnes,2027-10-08,SuperMax,10.26,428
Muslo de Pollo Premium,7500593,Carnes,2028-11-24,Campofrio,97.62,235
Muslo de Pollo Familiar,7500594,Carnes,2028-04-15,FreshCo,73.25,142
Ala de Pollo,7500595,Carnes,2028-08-10,Zwan,57.95,307
Ala de Pollo 500g,7500596,Carnes,2027-04-27,Zwan,111.8,109
Ala de Pollo 1kg,7500597,Carnes,2026-08-22,EcoStar,57.43,133
Ala de Pollo Light,7500598,Carnes,2025-03-11,NutriPlus,118.02,316
Ala de Pollo Premium,7500599,Carnes,2027-09-02,NutriPlus,77.2,251
Ala de Pollo Familiar,7500600,Carnes,2028-10-12,NutriPlus,113.71,275
Carne Molida,7500601,Carnes,2025-03-07,Generico,85.13,286
Carne Molida 500g,7500602,Carnes,2025-08-25,San Rafael,16.7,245
Carne Molida 1kg,7500603,Carnes,2027-02-12,San Rafael,96.04,422
Carne Molida Light,7500604,Carnes,2027-07-16,Zwan,77.94,290
Carne Molida Premium,7500605,Carnes,2027-10-18,Generico,89.33,162
Carne Molida Familiar,7500606,Carnes,2026-04-16,Oscar Mayer,106.6,75
Bistec de Res,7500607,Carnes,2027-03-26,NaturaBio,46.06,454
Bistec de Res 500g,7500608,Carnes,2027-04-08,NutriPlus,88.0,205
Bistec de Res 1kg,7500609,Carnes,2028-02-07,PureFarm,14.47,153
Bistec de Res Light,7500610,Carnes,2026-02-13,SuperMax,21.19,479
Bistec de Res Premium,7500611,Carnes,2028-01-15,San Rafael,103.63,477
Bistec de Res Familiar,7500612,Carnes,2027-03-22,Rica,9.87,295
Chuleta de Cerdo,7500613,Carnes,2025-10-06,PureFarm,43.33,341
Chuleta de Cerdo 500g,7500614,Carnes,2025-03-11,San Rafael,86.45,313
Chuleta de Cerdo 1kg,7500615,Carnes,2028-12-17,Rica,16.31,287
Chuleta de Cerdo Light,7500616,Carnes,2025-09-10,Rica,6.67,223
Chuleta de Cerdo Premium,7500617,Carnes,2028-03-20,San Rafael,61.57,246
Chuleta de Cerdo Familiar,7500618,Carnes,2027-01-14,NaturaBio,54.42,17
Lomo de Cerdo,7500619,Carnes,2026-01-02,FreshCo,3.79,228
Lomo de Cerdo 500g,7500620,Carnes,2026-06-26,FreshCo,47.21,51
Lomo de Cerdo 1kg,7500621,Carnes,2026-02-23,Oscar Mayer,116.13,270
Lomo de Cerdo Light,7500622,Carnes,2025-01-28,Marca Propia,27.88,472
Lomo de Cerdo Premium,7500623,Carnes,2028-03-20,Zwan,14.83,370
Lomo de Cerdo Familiar,7500624,Carnes,2025-10-16,PureFarm,28.24,389
Salchicha,7500625,Carnes,2025-09-17,San Rafael,44.66,260
Salchicha 500g,7500626,Carnes,2025-01-11,NutriPlus,33.8,445
Salchicha 1kg,7500627,Carnes,2025-04-28,Oscar Mayer,97.41,27
Salchicha Light,7500628,Carnes,2025-06-17,NaturaBio,12.69,266
Salchicha Premium,7500629,Carnes,2025-03-25,Campofrio,92.39,269
Salchicha Familiar,7500630,Carnes,2025-05-10,Marca Propia,64.91,343
Jamon de Pavo,7500631,Carnes,2025-10-14,Zwan,37.6,443
Jamon de Pavo 500g,7500632,Carnes,2027-08-18,FreshCo,114.63,180
Jamon de Pavo 1kg,7500633,Carnes,2025-12-20,Zwan,3.14,38
Jamon de Pavo Light,7500634,Carnes,2025-12-27,EcoStar,8.81,57
Jamon de Pavo Premium,7500635,Carnes,2025-07-07,NutriPlus,66.4,122
Jamon de Pavo Familiar,7500636,Carnes,2026-04-13,NutriPlus,41.5,196
Chorizo,7500637,Carnes,2025-08-01,SuperMax,57.41,249
Chorizo 500g,7500638,Carnes,2028-08-25,FreshCo,11.16,289
Chorizo 1kg,7500639,Carnes,2028-09-28,NaturaBio,113.34,243
Chorizo Light,7500640,Carnes,2025-06-10,PureFarm,115.66,96
Chorizo Premium,7500641,Carnes,2026-02-11,San Rafael,23.87,47
Chorizo Familiar,7500642,Carnes,2026-09-01,Oscar Mayer,54.42,158
Mortadela,7500643,Carnes,2027-10-21,EcoStar,100.58,96
Mortadela 500g,7500644,Carnes,2025-10-03,NaturaBio,113.56,42
Mortadela 1kg,7500645,Carnes,2026-12-05,Generico,69.88,353
Mortadela Light,7500646,Carnes,2025-12-21,EcoStar,96.56,160
Mortadela Premium,7500647,Carnes,2025-05-26,FreshCo,77.01,216
Mortadela Familiar,7500648,Carnes,2025-12-15,Campofrio,34.73,42
Tocino,7500649,Carnes,2027-09-20,VidaMax,48.12,445
Tocino 500g,7500650,Carnes,2026-06-24,Oscar Mayer,73.73,357
Tocino 1kg,7500651,Carnes,2025-01-17,NutriPlus,83.48,395
Tocino Light,7500652,Carnes,2028-05-17,Marca Propia,76.4,220
Tocino Premium,7500653,Carnes,2025-09-04,Zwan,76.31,174
Tocino Familiar,7500654,Carnes,2027-08-04,Rica,86.3,425
Milanesa,7500655,Carnes,2025-09-23,NaturaBio,27.24,254
Milanesa 500g,7500656,Carnes,2028-08-15,SuperMax,56.12,81
Milanesa 1kg,7500657,Carnes,2027-03-16,PureFarm,21.18,456
Milanesa Light,7500658,Carnes,2026-11-17,NutriPlus,33.77,240
Milanesa Premium,7500659,Carnes,2026-12-14,NutriPlus,39.02,53
Milanesa Familiar,7500660,Carnes,2026-07-06,FreshCo,99.49,490
Filete de Tilapia,7500661,Carnes,2027-06-15,San Rafael,26.65,85
Filete de Tilapia 500g,7500662,Carnes,2026-05-12,Campofrio,26.67,439
Filete de Tilapia 1kg,7500663,Carnes,2027-07-02,EcoStar,67.39,218
Filete de Tilapia Light,7500664,Carnes,2026-08-28,Rica,83.4,322
Filete de Tilapia Premium,7500665,Carnes,2028-08-23,Rica,81.36,90
Filete de Tilapia Familiar,7500666,Carnes,2027-03-06,Campofrio,70.2,258
Camaron,7500667,Carnes,2028-11-16,FreshCo,114.1,380
Camaron 500g,7500668,Carnes,2026-02-16,PureFarm,51.79,461
Camaron 1kg,7500669,Carnes,2026-12-27,SuperMax,86.15,462
Camaron Light,7500670,Carnes,2025-12-08,FreshCo,42.72,500
Camaron Premium,7500671,Carnes,2025-12-09,Campofrio,19.78,171
Camaron Familiar,7500672,Carnes,2027-09-11,SuperMax,66.86,315
Detergente Polvo,7500673,Limpieza,2027-07-10,Generico,10.84,261
Detergente Polvo 500g,7500674,Limpieza,2026-09-10,Pinol,116.93,416
Detergente Polvo 1kg,7500675,Limpieza,2027-01-07,Marca Propia,105.38,55
Detergente Polvo Light,7500676,Limpieza,2025-05-19,Ajax,51.0,113
Detergente Polvo Premium,7500677,Limpieza,2026-05-26,Pinol,12.26,243
Detergente Polvo Familiar,7500678,Limpieza,2026-12-20,Pinol,106.64,351
Detergente Liquido,7500679,Limpieza,2026-08-07,Pinol,62.19,320
Detergente Liquido 500g,7500680,Limpieza,2026-01-25,NutriPlus,18.47,242
Detergente Liquido 1kg,7500681,Limpieza,2025-02-17,EcoStar,92.43,353
Detergente Liquido Light,7500682,Limpieza,2026-04-01,Ariel,3.21,208
Detergente Liquido Premium,7500683,Limpieza,2026-03-19,Marca Propia,101.17,229
Detergente Liquido Familiar,7500684,Limpieza,2026-04-19,NutriPlus,75.28,115
Suavizante Ropa,7500685,Limpieza,2028-02-27,Fabuloso,115.67,468
Suavizante Ropa 500g,7500686,Limpieza,2026-04-28,AlimentaVida,37.66,294
Suavizante Ropa 1kg,7500687,Limpieza,2026-08-15,Ajax,65.97,142
Suavizante Ropa Light,7500688,Limpieza,2028-12-12,Marca Propia,66.15,188
Suavizante Ropa Premium,7500689,Limpieza,2028-08-02,EcoStar,102.31,368
Suavizante Ropa Familiar,7500690,Limpieza,2027-09-09,Marca Propia,5.22,212
Cloro,7500691,Limpieza,2025-06-15,EcoStar,23.53,365
Cloro 500g,7500692,Limpieza,2025-11-03,VidaMax,97.89,247
Cloro 1kg,7500693,Limpieza,2028-11-26,Fabuloso,78.3,309
Cloro Light,7500694,Limpieza,2025-02-07,Generico,38.54,347
Cloro Premium,7500695,Limpieza,2027-04-25,SuperMax,10.95,257
Cloro Familiar,7500696,Limpieza,2025-09-13,Generico,116.65,326
Desinfectante Pino,7500697,Limpieza,2025-10-01,EcoStar,98.23,233
Desinfectante Pino 500g,7500698,Limpieza,2027-03-19,Ajax,117.46,174
Desinfectante Pino 1kg,7500699,Limpieza,2026-06-20,SuperMax,18.41,258
Desinfectante Pino Light,7500700,Limpieza,2026-09-15,Ariel,27.58,268
Desinfectante Pino Premium,7500701,Limpieza,2027-01-28,FreshCo,42.06,215
Desinfectante Pino Familiar,7500702,Limpieza,2025-12-06,Ajax,99.82,475
Limpiador Multiusos,7500703,Limpieza,2028-09-08,Marca Propia,37.71,288
Limpiador Multiusos 500g,7500704,Limpieza,2028-08-17,VidaMax,20.52,270
Limpiador Multiusos 1kg,7500705,Limpieza,2028-07-05,PureFarm,106.06,162
Limpiador Multiusos Light,7500706,Limpieza,2025-06-09,EcoStar,61.65,478
Limpiador Multiusos Premium,7500707,Limpieza,2027-02-12,NutriPlus,16.93,216
Limpiador Multiusos Familiar,7500708,Limpieza,2025-11-20,Fabuloso,68.52,162
Lavaplatos Liquido,7500709,Limpieza,2027-10-13,Generico,83.7,129
Lavaplatos Liquido 500g,7500710,Limpieza,2026-02-01,NaturaBio,75.07,85
Lavaplatos Liquido 1kg,7500711,Limpieza,2028-03-13,NutriPlus,19.45,343
Lavaplatos Liquido Light,7500712,Limpieza,2028-02-14,SuperMax,23.81,323
